Наш арт;Арт поставщика;Старый артикул (сайт);Поставщик;Наименование изделия;жен/муж;рукав, размер;Описание+особенности;Ссылка на фото поставщика;Наша цена;Цена поставщика;Наценка;Примечание;Ссылка на наш сайт
2502;2502;11.62а;Проект 111;Рубашка-поло;муж;кор. рукав;"хлопок 100%, плотность 270 г/кв.м.; пике";;797;;;;http://aviktime.ru/catalog/items/677/
1384;1384;11.63а;Проект 111;Ветровка;уни;дл. рукав;нейлон 100%, плотность 210 г/кв.м.;;530;;;;http://aviktime.ru/catalog/items/660/
5575;5575;11.64а;Проект 111;Куртка;жен;дл. рукав;флис, плотность 300 г/м2;;1080;;;;нет на сайте
1909;1909;11.65а;Проект 111;Куртка;муж;дл. рукав;флис, плотность 300 г/м2;;1080;;;;http://aviktime.ru/catalog/items/679/
5543;5543;11.66а;Проект 111;Бандана;уни;-;хлопок 100%, плотность 105 г/м2;;69;;;;http://aviktime.ru/catalog/items/680/
5429;5429;11.67а;Проект 111;Козырек;уни;-;"хлопок 100%; твил";;109;;;;http://aviktime.ru/catalog/items/681/
1848;1848;11.68а;Проект 111;Бейсболка;уни;-;хлопок 100%, плотность 340 г/кв.м.;;111;;;;http://aviktime.ru/catalog/items/682/
5238;5238;11.69а;Проект 111;Фартук;уни;-;ткань тиси (35% хлопок, 65% полиэстер);;323;;;;http://aviktime.ru/catalog/items/683/
11.70h;-;;Гермес;шапка флисовая (шестиклинка);уни;-;240 г;;250;130;1,92;на количество больше 100 ед.- цена меньше;http://www.aviktime.ru/catalog/items/686/
11.71h;-;;Гермес;шарф флисовый;уни;120*20, 150*25;"180г/м2, 300г/м2, обработка края: 120*20 оверлок, бахрома,
150*25 оверлок(бахрома+10 руб.)";;220;120;1,8;"180г/м2-120*20 с обработкой оверлок, бахрома- 120 руб.,
150*25 с обработкой оверлок(бахрома +10 руб.)- 200 руб.(+10 руб.)
300 г/м2- 120*20 с обработкой оверлок, бахрома- 170 руб.,
150*25 с обработкой оверлок(бахрома+10 руб.)- 300 руб.(+10руб.) 
на количество больше 100 ед.- цена меньше";http://www.aviktime.ru/catalog/items/687/
11.72h;-;;Гермес;варежки флисовые;уни;-;240гр;;320;200;1,6;на количество больше 100 ед.- цена меньше;http://www.aviktime.ru/catalog/items/688/
11.73h;-;;Гермес;варежки комбинированные( флис/плащевка);уни;-;240гр/100%ПЭ;;480;300;1,6;на количество больше 100 ед.- цена меньше;http://www.aviktime.ru/catalog/items/689/
11.74h;-;;Гермес;Варежки из плащевки двухслойные (подклад из флиса);уни;-;100%ПЭ/180гр;;0;370;;на количество больше 100 ед.- цена меньше;НЕ НАШЛА
11.75h;;;ФормаРусь;жилет женский;жен;-;Ткань смесовая: вискоза - 30%, полиэстр - 70%;;1476;820;1,8;черный;http://www.aviktime.ru/catalog/items/701/
11.76h;;;ФормаРусь;юбка на подкладке;жен;-;Ткань смесовая: вискоза - 30%, полиэстр - 70%;;1476;820;1,8;черный;http://www.aviktime.ru/catalog/items/700/
11.77h;;;ФормаРусь;брюки женские;жен;-;Ткань смесовая: вискоза - 30%, полиэстр - 70%;;1476;820;1,8;черный;http://www.aviktime.ru/catalog/items/702/
11.78h;;;ФормаРусь;костюм двойка;жен;-;;;3150;2250;1,4;черный;
11.79h;;;ФормаРусь;костюм двойка;муж;-;;;3487,5;2250;1,55;;
11.80h;;;Профит Групп;комплект магистра: мантия+шапочка с кисточкой+капюшон;уни;-;габардин;;1826;830;2,2;;
11.81h;;;Профит Групп;Комплект бакалавра: мантия+шапочка с кисточкой;уни;-;габардин;;1496;680;2,2;;
11.82h;;;Профит Групп;галстук;уни;-;;;264;120;2,2;;
11.83h;;;Профит Групп;накидка специалиста;уни;-;;;330;150;2,2;;
11.84h;;;Профит Групп;коробка для хранения мантий;уни;-;;;154;70;2,2;;
11.85h;;;Профит Групп;капюшон магистра;уни;-;;;330;150;2,2;;
;;;;;;;;;0;;;;
;;;;;;;;;0;;;;
;;;;;;;;;0;;;;
;;;;;;;;;0;;;;
;;;;;;;;;0;;;;
;;;;;;;;;0;;;;
;;;;;;;;;0;;;;
;;;;;;;;;0;;;;
;;;;;;;;;0;;;;
;;;;;;;;;0;;;;
;;;;;;;;;0;;;;
;;;;;;;;;0;;;;
;;;;;;;;;0;;;;
;;;;;;;;;0;;;;
;;;;;;;;;0;;;;
;;;;;;;;;0;;;;
;;;;;;;;;0;;;;
;;;;;;;;;0;;;;
;;;;;;;;;0;;;;
;;;;;;;;;0;;;;
;;;;;;;;;0;;;;
;;;;;;;;;0;;;;
;;;;;;;;;0;;;;
;;;;;;;;;0;;;;
